LATITUDE,LONGITUDE,OFFENSE,Count
38.90220295,-76.98201546,THEFT F/AUTO,4
38.93720699,-77.02938916,THEFT F/AUTO,1
38.94538022,-77.01516922,BURGLARY,7
38.93418299,-77.08080525,THEFT/OTHER,2
38.90536309,-76.92963814,THEFT/OTHER,4
38.91627461,-77.01329504,THEFT F/AUTO,1
38.93353961,-76.96686392,MOTOR VEHICLE THEFT,3
38.82919992,-76.99239894,THEFT/OTHER,3
38.92557963,-76.98235554,THEFT/OTHER,1
38.9493265,-77.00879056,THEFT F/AUTO,2
38.87292466,-76.97611112,THEFT F/AUTO,1
38.93372513,-77.04419693,THEFT/OTHER,1
38.92374759,-76.9669146,THEFT F/AUTO,3
38.94494644,-76.97647919,THEFT F/AUTO,1
38.91645372,-77.02054798,THEFT/OTHER,2
38.93044075,-77.07287776,THEFT F/AUTO,4
38.90019544,-76.99731392,THEFT/OTHER,91
38.88878219,-76.9549549,ROBBERY,1
38.90327935,-76.92512094,SEX ABUSE,1
38.92892308,-77.09173245,THEFT F/AUTO,1
38.90773448,-76.98489643,THEFT/OTHER,4
38.92539589,-77.03387036,THEFT F/AUTO,6
38.90496812,-76.97960521,THEFT/OTHER,1
38.90192971,-77.03195702,THEFT/OTHER,3
38.92221165,-76.99315012,THEFT/OTHER,125
38.89769935,-77.01366047,THEFT/OTHER,5
38.92639079,-77.01466929,THEFT F/AUTO,6
38.90251058,-77.00281298,THEFT/OTHER,11
38.92817081,-77.03259154,THEFT/OTHER,70
38.9016901,-77.04775091,THEFT/OTHER,4
38.92014854,-76.99031358,ASSAULT W/DANGEROUS WEAPON,3
38.97494526,-77.01557943,THEFT/OTHER,2
38.90723644,-77.02885799,THEFT/OTHER,4
38.97359434,-77.01308647,THEFT F/AUTO,2
38.9025184,-77.01692398,THEFT F/AUTO,11
38.91728288,-77.01817283,ASSAULT W/DANGEROUS WEAPON,1
38.89734557,-77.02756288,ASSAULT W/DANGEROUS WEAPON,1
38.91862084,-77.03650779,THEFT/OTHER,1
38.91476928,-77.01990178,THEFT F/AUTO,20
38.90502386,-76.99553828,THEFT/OTHER,3
38.87927615,-77.02091759,THEFT F/AUTO,2
38.90221198,-76.93270785,THEFT/OTHER,1
38.82575893,-76.99989635,MOTOR VEHICLE THEFT,3
38.88989756,-76.95081616,THEFT/OTHER,1
38.91259948,-77.01060781,ROBBERY,4
38.93034018,-77.03800156,ROBBERY,2
38.93456693,-77.03181017,ASSAULT W/DANGEROUS WEAPON,1
38.89955587,-76.99951582,ROBBERY,1
38.87865928,-76.94045164,THEFT F/AUTO,1
38.90191583,-76.99264482,THEFT/OTHER,5
38.95754235,-76.99764635,MOTOR VEHICLE THEFT,1
38.88166372,-77.0188668,THEFT F/AUTO,2
38.89417686,-76.98457654,THEFT F/AUTO,1
38.88523119,-76.93268928,BURGLARY,1
38.87985289,-76.93218726,MOTOR VEHICLE THEFT,1
38.9045061,-77.03195817,THEFT/OTHER,10
38.88368694,-76.92637473,THEFT F/AUTO,1
38.89111691,-76.93859696,SEX ABUSE,1
38.96671403,-77.062599,THEFT F/AUTO,1
38.91824795,-76.99258548,THEFT/OTHER,18
38.94773129,-77.01583881,ROBBERY,1
38.87246753,-77.00588863,THEFT F/AUTO,1
38.90451821,-77.01720115,THEFT/OTHER,8
38.96547857,-77.00407319,THEFT F/AUTO,1
38.90313642,-77.0334217,THEFT/OTHER,2
38.89822844,-76.97262122,ROBBERY,1
38.83290223,-76.99019873,THEFT/OTHER,1
38.90964287,-77.02346304,THEFT/OTHER,4
38.98134595,-77.03488951,THEFT F/AUTO,2
38.86304374,-76.95133013,THEFT/OTHER,3
38.90962534,-77.05043112,THEFT F/AUTO,2
38.90395736,-77.05427775,THEFT/OTHER,3
38.88979808,-76.97988618,THEFT/OTHER,7
38.88401637,-76.99618502,THEFT/OTHER,2
38.93482428,-77.05808053,THEFT/OTHER,94
38.89563637,-76.95197648,BURGLARY,1
38.96130305,-77.0334259,THEFT/OTHER,3
38.92020028,-77.02519624,MOTOR VEHICLE THEFT,1
38.93236382,-76.99709819,THEFT F/AUTO,8
38.88128574,-77.01637727,THEFT F/AUTO,3
38.9148293,-77.03325422,THEFT F/AUTO,10
38.8978309,-77.03196671,THEFT/OTHER,4
38.88185393,-76.98928151,THEFT/OTHER,4
38.95200011,-77.02254252,THEFT F/AUTO,1
38.91297197,-77.03848811,THEFT/OTHER,6
38.94525303,-76.97804792,THEFT F/AUTO,2
38.91177067,-76.98887346,THEFT F/AUTO,4
38.92047118,-77.02199057,MOTOR VEHICLE THEFT,2
38.93691896,-77.02845478,ROBBERY,1
38.83255997,-77.00900653,THEFT/OTHER,11
38.90019538,-76.99557316,THEFT/OTHER,30
38.83007392,-76.9961879,BURGLARY,1
